epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9847,2.29399,2.34887,1.75265,0.36284,0.32667,0.3153,0.14092,2.26694,2.39128,1.58093,0.000416021,0.000416021,0.000416021
2,111.354,1.84381,1.34248,1.46339,0.46699,0.37591,0.38873,0.16027,2.18536,2.05737,1.66681,0.000667815,0.000667815,0.000667815
3,162.503,1.645,1.14626,1.34763,0.4572,0.44824,0.43712,0.19772,2.23007,1.99745,1.61308,0.00075461,0.00075461,0.00075461
4,213.912,1.49711,1.02807,1.26537,0.50276,0.47703,0.44377,0.18888,2.11854,1.91176,1.53483,0.0005075,0.0005075,0.0005075
5,265.22,1.3736,0.94077,1.20699,0.58414,0.44437,0.45148,0.19484,2.10214,1.76374,1.54466,0.00026,0.00026,0.00026
